collection,cumulativeTradeVolumeETH,dailyMaxSalePrice,dailyMinSalePrice,dailyTradeVolumeETH,dailyTradedItemCount,transaction_date,dailyMinSalePrice_USD,dailyMaxSalePrice_USD,DailyTradeVolumeUSD
Somnium Space Land,171.52499789,1.0,1.0,1.0,1,2022-09-20,1322.3387695298795,1322.3387695298795,1322.3387695298795
NFT Worlds,2871.446422120839,0.715,0.69,2.115,3,2022-09-20,912.4137509756168,945.4722202138638,2796.7464975556954
Decentraland LAND,654.48592898999,2.0,2.0,2.0,1,2022-09-19,2757.428178042732,2757.428178042732,2757.428178042732
Cryptovoxels Parcel,262.25622475148685,0.5,0.3897,0.8897,2,2022-09-19,537.2848804916263,689.357044510683,1226.641925002309
Sandbox's LANDs,5156.208894886491,3.28,0.4,39.1307222,28,2022-09-19,551.4856356085464,4522.18221199008,53950.07801072114
NFT Worlds,2869.3314221208393,0.72,0.601,2.671,4,2022-09-19,828.6071675018409,992.6741440953834,3682.545331776068
Decentraland LAND,652.48592898999,1.8,1.75,3.55,2,2022-09-18,2332.806674957739,2399.4582942422458,4732.264969199984
Sandbox's LANDs,5117.078172686492,2.09,1.000001,65.6198998,52,2022-09-18,1333.033718722522,2786.037686092385,87473.4515791417
NFT Worlds,2866.660422120839,0.71,0.71,0.71,1,2022-09-18,946.4529938399968,946.4529938399968,1000.0
Cryptovoxels Parcel,261.3665247514869,0.45,0.3207,1.4142,4,2022-09-18,427.5034860908267,599.8645735605614,1885.1743998429904
Sandbox's LANDs,5051.458272886492,1.5,1.0,40.006999,35,2022-09-17,1470.07625001432,2205.11437502148,58813.339064246655
Cryptovoxels Parcel,259.95232475148686,0.79,0.42,3.255,6,2022-09-17,617.4320250060144,1161.360237511313,4785.098193796612
Somnium Space Land,170.52499789,1.5,1.5,1.5,1,2022-09-17,2205.11437502148,2205.11437502148,2205.11437502148
NFT Worlds,2865.950422120839,0.71,0.615,1.325,2,2022-09-17,904.0968937588068,1043.754137510167,1947.851031268974
Sandbox's LANDs,5011.451273886491,1.99,0.95,43.8729996,39,2022-09-16,1358.7503033864002,2846.2243197251964,62749.948965233074
Decentraland LAND,648.93592898999,1.7,1.59,3.29,2,2022-09-16,2274.11892882566,2431.4479113230323,4705.566840148692
Cryptovoxels Parcel,256.69732475148686,0.87,0.4,1.27,2,2022-09-16,572.105390899537,1244.329225206493,1816.43461610603
NFT Worlds,2864.625422120839,1.5,0.6,4.127,4,2022-09-16,858.1580863493054,2145.395215873264,5902.6973706059725
Cryptovoxels Parcel,255.42732475148688,0.5,0.4,1.32069,3,2022-09-15,588.4804315442242,735.6005394302802,1943.0005528403533
Decentraland LAND,645.64592898999,1.65,1.65,1.65,1,2022-09-15,2427.481780119924,2427.481780119924,2427.481780119924
NFT Worlds,2860.498422120839,1.47,0.675,3.645,4,2022-09-15,993.0607282308782,2162.665585925024,5362.527932446742
Sandbox's LANDs,4967.578274286491,3.0,0.4,50.8096899,39,2022-09-15,588.4804315442242,4413.603236581681,74751.27059745052
NFT Worlds,2856.8534221208392,1.5,0.58,12.38,13,2022-09-14,948.2362225749536,2452.335058383501,20239.938681858494
Sandbox's LANDs,4916.768584386491,2.06,0.95,23.6549999999,20,2022-09-14,1553.145536976217,3367.873480180008,38673.32387054432
Cryptovoxels Parcel,254.1066347514869,0.38,0.3569,0.7369,2,2022-09-14,583.492254891381,621.2582147904868,1204.7504696818678
Decentraland LAND,643.99592898999,1.59,1.49999,7.58999,5,2022-09-14,2452.3187094831114,2599.4751618865107,12408.799046520126
NFT Worlds,2844.473422120839,1.25,0.55,3.6899,4,2022-09-13,865.1381193928871,1966.2229986201976,5804.132994086935
Sandbox's LANDs,4893.113584386592,2.55,0.939,38.851999,32,2022-09-13,1477.0267165634923,4011.094917185204,61113.35518093514
Cryptovoxels Parcel,253.36973475148687,0.45,0.4,0.85,2,2022-09-13,629.1913595584633,707.8402795032713,1337.0316390617345
Decentraland LAND,636.40593898999,1.499999,1.15,3.949999,3,2022-09-13,1808.9251587305816,2359.4660253658385,6213.263102661426
NFT Worlds,2840.7835221208393,0.75,0.6,2.0,3,2022-09-12,1027.3379880319142,1284.1724850398928,3424.459960106381
Sandbox's LANDs,4854.261585386592,4.0,0.09499999,30.38595531,24,2022-09-12,162.66183098275332,6848.919920212762,52027.74365433844
Somnium Space Land,169.02499789,1.25,1.25,1.25,1,2022-09-12,2140.287475066488,2140.287475066488,2140.287475066488
Cryptovoxels Parcel,252.51973475148688,0.4,0.3,1.839,5,2022-09-12,513.6689940159571,684.8919920212762,3148.790933317817
Decentraland LAND,632.45593998999,1.15,1.15,1.15,1,2022-09-12,1969.0644770611689,1969.0644770611689,1969.0644770611689
Decentraland LAND,631.30593998999,2.175,1.5,5.225,3,2022-09-11,2643.454643784592,3833.009233487658,9208.03367584966
Cryptovoxels Parcel,250.68073475148688,0.3875,0.349,0.7365,2,2022-09-11,615.0437804538817,682.892449644353,1297.9362300982348
NFT Worlds,2838.7835221208393,1.389999,0.5202,3.909199,4,2022-09-11,916.7500704644964,2449.5995409372927,6889.193500018722
Sandbox's LANDs,4823.875630076592,2.14,0.94,24.456988889999,21,2022-09-11,1656.564910105011,3771.328625132685,43100.62723617069
Decentraland LAND,626.08093998999,1.72,1.15,4.32,3,2022-09-10,2046.1849219480544,3060.3809267396987,7686.538141578779
NFT Worlds,2834.874323120839,0.7,0.5201,4.859,7,2022-09-10,925.4093720914636,1245.5038655335984,8645.57611803965
Sandbox's LANDs,4799.418641186592,1.55,0.669799864,28.318799564,23,2022-09-10,1191.769028208398,2757.901416538682,50387.39189176168
Cryptovoxels Parcel,249.94423475148687,0.69,0.3875,1.4814,3,2022-09-10,689.4753541346705,1227.7109531688327,2635.8420377163898
NFT Worlds,2830.015323120839,0.8,0.5131,4.1221,6,2022-09-09,880.92731737432,1373.4980586619686,7077.120434513125
Decentraland LAND,621.76093998999,1.52,1.52,1.52,1,2022-09-09,2609.64631145774,2609.64631145774,2609.64631145774
Sandbox's LANDs,4771.099841622592,1.95,0.4,38.6848995,33,2022-09-09,686.7490293309843,3347.901517988548,66417.04295347919
Somnium Space Land,167.77499789,2.0,2.0,2.0,1,2022-09-09,3433.745146654921,3433.745146654921,3433.745146654921
Cryptovoxels Parcel,248.46283475148687,0.4185,0.2616999999999999,1.0702,3,2022-09-08,427.20326303409456,683.1660893380537,1747.0115861638833
NFT Worlds,2825.893223120839,1.25,0.602,5.401,6,2022-09-08,982.7144224169851,2040.5199801017136,8816.678730023485
Decentraland LAND,620.24093998999,1.9,1.6,3.5,2,2022-09-08,2611.865574530193,3101.5903697546046,5713.455944284799
Sandbox's LANDs,4732.414942122592,1.499,0.6476,31.6955996,26,2022-09-08,1057.1525912910956,2446.9915601379757,51740.40341208311
Somnium Space Land,165.77499789,1.1,1.1,1.1,1,2022-09-08,1795.657582489508,1795.657582489508,1795.657582489508
Decentraland LAND,616.74093998999,2.7,1.5,7.4299,4,2022-09-07,2441.6754163550395,4395.015749439071,12094.269450650872
Sandbox's LANDs,4700.719342522592,1.722222222222222,0.4,57.282189,45,2022-09-07,651.1134443613439,2803.405107666897,93243.00845086871
NFT Worlds,2820.4922231208393,1.25,0.72,7.584,9,2022-09-07,1172.004199850419,2034.7295136292,12345.110905091078
Cryptovoxels Parcel,247.39263475148687,0.4498,0.3267,2.4252,6,2022-09-07,531.7969056821275,732.1770681843311,3947.700813162828
Sandbox's LANDs,4643.437153522592,1.65,0.94,38.44,36,2022-09-06,1468.2554514253136,2577.256909416774,60042.27611998835
NFT Worlds,2812.908223120839,0.85,0.076,3.0573,4,2022-09-06,120.0,1327.6778018207624,4775.422757066608
Cryptovoxels Parcel,244.96743475148688,1.0,1.0,1.0,1,2022-09-06,1561.9738844950143,1561.9738844950143,1561.9738844950143
Decentraland LAND,609.31103998999,1.27,1.27,1.27,1,2022-09-06,1983.7068333086688,1983.7068333086688,1983.7068333086688
Somnium Space Land,164.67499789,0.3,0.3,0.3,1,2022-09-05,485.8608320164342,485.8608320164342,1000.0
NFT Worlds,2809.850923120839,1.0,0.633,2.403,3,2022-09-05,1025.166355554676,1619.5361067214474,3891.745264451638
Sandbox's LANDs,4604.997153522592,1.8888888888888888,0.9,74.4109999,61,2022-09-05,1457.5824960493026,3059.123757140512,120511.301075296
Cryptovoxels Parcel,243.96743475148688,0.315,0.315,0.63,2,2022-09-05,510.1538736172559,510.1538736172559,1020.3077472345118
Decentraland LAND,608.04103998999,1.75,0.0066666666666666,4.95,18,2022-09-05,120.0,2834.188186762533,8016.703728271164
Cryptovoxels Parcel,243.33743475148688,0.6,0.4632233796296296,1.5622233796296296,3,2022-09-04,729.8430886766074,945.3448864262684,2461.399805647389
Sandbox's LANDs,4530.586153622592,1.39,0.4,74.212,74,2022-09-04,630.229924284179,2190.0489868875216,116926.55785244372
Decentraland LAND,603.09103998999,1.6,1.5,3.1,2,2022-09-04,2363.362216065671,2520.919697136716,4884.281913202387
NFT Worlds,2807.4479231208393,0.75,0.7,2.95,4,2022-09-04,1102.902367497313,1181.6811080328357,4647.94569159582
Cryptovoxels Parcel,241.77521137185724,1.5,0.41,3.27956,4,2022-09-03,637.5498006767225,2332.499270768497,5099.714205627688
Sandbox's LANDs,4456.374153622592,19.98,0.83,83.9149889,49,2022-09-03,1290.6495964919018,31068.890286636382,130487.76694386436
Decentraland LAND,599.99103998999,1.979,1.849,3.828,2,2022-09-03,2875.1941011006343,3077.3440379005706,5952.538139001204
NFT Worlds,2804.497923120839,1.9,0.795,6.445,6,2022-09-03,1236.2246135073035,2954.499076306763,10021.97186673531
Sandbox's LANDs,4372.459164722592,5.55,0.9,71.885,67,2022-09-02,1419.2711634366829,8752.172174526211,113360.3417596066
Cryptovoxels Parcel,238.49565137185724,1.69,0.33,3.62,5,2022-09-02,520.3994265934504,2665.075851342216,5708.624012934213
Decentraland LAND,596.16303998999,2.1,2.0,4.1,2,2022-09-02,3153.935918748184,3311.6327146855933,6465.568633433777
NFT Worlds,2798.0529231208393,0.9,0.691,11.7471,15,2022-09-02,1089.6848599274974,1419.2711634366829,18524.8003155634
NFT Worlds,2786.3058231208392,1.35,0.5573,1.9073,2,2022-09-01,883.9503787343615,2141.275814267698,3025.226193002059
