tokenId,transaction_date,TokenPrice_USD,x,y
4423670769972200025023869896612986748956,2022-09-05,10.796907378142874,13,28
5444517870735015415413993718908291383384,2022-09-05,10.796907378142874,16,88
27222589353675077077069968594541456916342,2022-09-04,2363.362216065671,79,-138
27222589353675077077069968594541456916343,2022-09-04,2520.919697136716,79,-137
16333553612205046246241981156724874150028,2022-09-03,3077.3440379005706,48,140
27562871720596015540533343201973225127799,2022-09-03,2875.1941011006343,80,-137
13951577043758477001998358904702496669576,2022-09-02,3153.935918748184,40,-120
115792089237316195423570985008687907834214172118068010085508605991734109798404,2022-09-02,3311.6327146855933,-56,4
12250165209153784684681485867543655612426,2022-09-01,6154.185303228643,36,10
11909882842232846221218111260111887400970,2022-09-01,6154.185303228643,35,10
115792089237316195423570985008687907831151630815779563914338234524848195895183,2022-09-01,2379.195349186331,-66,-113
4763953136893138488487244504044754960315,2022-09-01,15861.302327908872,13,-69
27903154087516954003996717809404993339255,2022-08-31,2713.5317846404237,81,-137
15652988878363169319315231941861337727116,2022-08-31,3022.0991132938207,46,140
15993271245284107782778606549293105938572,2022-08-31,3022.0991132938207,47,140
29604565922121646321313590846563834396523,2022-08-31,3488.826580251973,86,-149
27562871720596015540533343201973225127798,2022-08-31,2915.1084314994264,80,-138
15993271245284107782778606549293105938314,2022-08-30,1750.643340373529,46,-118
39472754562828861761751454462085112528765,2022-08-30,2890.8449594515932,115,-131
115792089237316195423570985008687907843061513658012410135556345784960083296298,2022-08-29,3887.5866845137803,-30,42
115792089237316195423570985008687907811755535901286071496925881901237407842277,2022-08-29,2099.2968096374416,-123,-27
115792089237316195423570985008687907843061513658012410135556345784960083296229,2022-08-29,2985.666573706583,-31,-27
22458636216781938588582724090496701955961,2022-08-28,2415.648132161023,65,-135
115792089237316195423570985008687907805970735663630117618048513574897348247402,2022-08-28,2490.0638329147987,-140,-150
32326824857489154029020587706017980088194,2022-08-28,2647.481661432401,94,-126
35389366159777600200190959172903893991319,2022-08-28,2289.7138693469415,103,-105
45938119534326692567555572003288708546542,2022-08-28,2361.267427764033,134,-18
43556142965880123323311949751266331066266,2022-08-28,2647.481661432401,127,-102
2381976568446569244243622252022377480079,2022-08-27,2612.8959131527527,6,-113
115792089237316195423570985008687907848506031528747425550970339503868374679582,2022-08-26,3760.490617536689,-14,30
115792089237316195423570985008687907805970735663630117618048513574897348247402,2022-08-26,1961.231234707615,-140,-150
115792089237316195423570985008687907843061513658012410135556345784960083296229,2022-08-26,1729.8256840668769,-31,-27
1361129467683753853853498429727072845856,2022-08-25,3268.2741190058546,4,32
47639531368931384884872445040447549603827,2022-08-24,1907.887673153195,139,-13
115792089237316195423570985008687907805970735663630117618048513574897348247402,2022-08-24,3225.1596840085313,-140,-150
115792089237316195423570985008687907838978125254961148573995850495778864758859,2022-08-24,2737.404052785019,-42,75
1361129467683753853853498429727072845856,2022-08-24,1907.887673153195,4,32
115792089237316195423570985008687907838978125254961148573995850495778864758859,2022-08-24,1907.970624774568,-42,75
115792089237316195423570985008687907843401796024933348599019720392391851507582,2022-08-23,2746.99396123023,-30,-130
35049083792856661736727584565472125779842,2022-08-22,2435.011021031985,102,-126
35389366159777600200190959172903893991298,2022-08-22,2564.8782754870244,103,-126
115792089237316195423570985008687907808352712232076686862292135826919725727708,2022-08-22,2678.512123135183,-133,-36
19055812547572553953948978016179019841451,2022-08-22,3230.4479545691,55,-85
